work_id,title,original_topic_id,cluster_id,action,reason,cosine_to_centroid
https://openalex.org/W1000256596,印度《武装部队新闻》杂志特点及启示,T14423,T14423.C01,propose_split,,0.9070541475841746
https://openalex.org/W1021479909,论旅行社业的“三化”发展趋势,T14423,T14423.C01,propose_split,,0.9076010640510808
https://openalex.org/W1038375429,中医儿科技术方法操作规范——外治疗法（征求意见稿）,T14423,T14423.C01,propose_split,,0.9035206362369845
https://openalex.org/W1040321041,新型高节能低成本压缩、真空机械产品——XJY-1技术研究,T14423,T14423.C01,propose_split,,0.9076823735322106
https://openalex.org/W1140426257,汉、土家语的接触对土家语的影响——龙山靛房土家语音系变化之分析,T14423,T14423.C01,propose_split,,0.91485169923488
https://openalex.org/W1144693024,用新理念新技术推动城镇供水管网改造建设-《城镇供水设施建设与改造技术指南实施细则》管网部分解读,T14423,T14423.C01,propose_split,,0.9105275895418905
https://openalex.org/W1145954368,"Публикации. МРАМОРНАЯ СТУПКА ИЗ КОЛЛЕКЦИИ НАЦИОНАЛЬНОГО ЗАПОВЕДНИКА ""СОФИЯ КИЕВСКАЯ""",T14423,T14423.C02,propose_split,,0.9024965305448372
https://openalex.org/W1167084365,序 : アレルギー疾患のフェノタイプ気管支喘息を越えてアレルギー疾患全体へ (特集 アレルギー疾患のフェノタイプとエンドタイプ),T14423,T14423.C04,propose_split,,0.919842005104165
https://openalex.org/W1207966438,一代知识分子的自我写照——《名士风流》译本序,T14423,T14423.C01,propose_split,,0.9181285064784328
https://openalex.org/W1270055111,跨文化交际视角下《功夫熊猫》主题探析,T14423,T14423.C01,propose_split,,0.9153357649567878
https://openalex.org/W131364260,永远的经典——记著名歌唱家、歌剧《洪湖赤卫队》韩英的扮演者王玉珍女士,T14423,T14423.C01,propose_split,,0.906692858499845
https://openalex.org/W132525672,基于μC／OS-II的一种嵌入式系统内存管理方案,T14423,T14423.C01,propose_split,,0.8971422609073034
https://openalex.org/W140937081,佐藤春夫「西班牙犬の家」の謎をめぐって--比較文学的に読む (染田利信教授還暦記念論集),T14423,T14423.C04,propose_split,,0.9108989743945162
https://openalex.org/W1416981049,Педагогические условия формирования информационной компетентности будущих учителей начальных классов,T14423,T14423.C02,propose_split,,0.8943053363395596
https://openalex.org/W144616717,クリスマス・メロディーズ : ピアノ・ソロ,T14423,T14423.C04,propose_split,,0.8802828499976713
https://openalex.org/W1479511023,关于建立“长江商贸走廊”的初步构想,T14423,T14423.C01,propose_split,,0.9145099691861288
https://openalex.org/W1480716356,专利：科学技术新常态研究的关键节点——沈君博士《专利技术主题的知识网络研究》评介,T14423,T14423.C01,propose_split,,0.923914058238588
https://openalex.org/W1488722156,英国文化唯物论的德国起源：玛格特·汉尼曼论布莱希特,T14423,T14423.C01,propose_split,,0.9057414745635703
https://openalex.org/W1490204596,빠스꾸알 두아르떼의 일가에 나타난 인간실존의문제와 스페인적 맥락,T14423,T14423.C03,propose_split,,0.895184201195386
https://openalex.org/W1511877755,전자제어식 주차브레이크(EPB) 시스템의 다축 내구시험법 개발에 관한 연구,T14423,T14423.C03,propose_split,,0.8948730321066682
https://openalex.org/W155086643,경력단절 여성의 감성지능이 고용가능성에 미치는 영향 : 사회 연결망의 매개효과를 중심으로,T14423,T14423.C03,propose_split,,0.8952621837048851
https://openalex.org/W1552753143,"重大主题报道创新路径：高站位,多形式,全媒体",T14423,T14423.C01,propose_split,,0.9211952652603217
https://openalex.org/W1571799402,最新商法・会社法がわかる事典 : 読みこなし・使いこなし・活用自在,T14423,T14423.C04,propose_split,,0.9120992597124497
https://openalex.org/W162748706,延命治療の差し控えと中止--患者の利益と医師の心理的負担の視点から (第5土曜特集 救急医療UPDATA--現状と展望) -- (倫理・メディア),T14423,T14423.C04,propose_split,,0.9209956244743415
https://openalex.org/W1688936418,日本企業のすり合わせ能力を生かす (特集 組織力を高めるマネジメント),T14423,T14423.C04,propose_split,,0.9112578238225445
https://openalex.org/W1824050445,프랙탈 차원을 이용한 한국 해안선길이 특성 연구,T14423,T14423.C03,propose_split,,0.9013331567330001
https://openalex.org/W1931330137,일본시장에서의 수산물 수출경쟁력 분석,T14423,T14423.C03,propose_split,,0.8919694579726688
https://openalex.org/W1931628525,아랍어 동사의 상(Aspect)과 시제(Tense),T14423,T14423.C03,propose_split,,0.8941522533224704
https://openalex.org/W1936938468,통일에 대비한 한국의 통일비용 재원조달방안에 관한 논의,T14423,T14423.C03,propose_split,,0.8906268447569722
https://openalex.org/W1962967553,에너지 통합 전시회 개최 위해 관련 협단체 ‘의기투합’,T14423,T14423.C03,propose_split,,0.8751544035302175
https://openalex.org/W201617984,Рефлексивные модели репутации и норм деятельности,T14423,T14423.C02,propose_split,,0.904687050765544
https://openalex.org/W2118370542,작업기억의 용량이 컴퓨터 문서의 이해에 미치는 영향,T14423,T14423.C03,propose_split,,0.8903735451410556
https://openalex.org/W2138252148,"미디어 리터러시 구성요인과 부모의 중재 행위, 아동의 이용조절 인식간의 상관관계",T14423,T14423.C03,propose_split,,0.9073870105039481
